empleado_id,area,salario_cop,fecha_ingreso,antiguedad_anios,tipo_contrato,sede,ausentismo_dias_anio,rotacion_riesgo,costo_total_cop,sobre_smlv
EMP-0001,Producción,2000101,2016-09-01,10.0,Obra o labor,Planta Palmira,9,Bajo,3040153,1.41
EMP-0002,Producción,3307674,2024-11-17,1.8,Indefinido,Oficina Cali,1,Bajo,5027664,2.32
EMP-0003,Producción,2335835,2015-12-07,10.7,Fijo,Planta Palmira,2,Alto,3550469,1.64
EMP-0004,Producción,2420750,2022-06-23,4.2,Obra o labor,Planta Palmira,1,Medio,3679540,1.7
EMP-0005,Producción,2332749,2016-08-09,10.1,Indefinido,Planta Palmira,0,Bajo,3545778,1.64
EMP-0006,Producción,2975217,2020-08-27,6.0,Indefinido,Planta Palmira,3,Medio,4522329,2.09
EMP-0007,Producción,2140490,2020-04-13,6.4,Indefinido,Planta Palmira,3,Bajo,3253544,1.5
EMP-0008,Producción,1748179,2021-09-16,5.0,Indefinido,Planta Palmira,7,Bajo,2657232,1.23
EMP-0009,Producción,2093810,2020-07-06,6.2,Indefinido,Planta Palmira,1,Bajo,3182591,1.47
EMP-0010,Producción,3183755,2015-08-16,11.0,Indefinido,Planta Palmira,22,Bajo,4839307,2.24
EMP-0011,Producción,1688229,2018-08-26,8.0,Indefinido,Tiendas,6,Medio,2566108,1.19
EMP-0012,Producción,3206772,2024-08-19,2.0,Fijo,Planta Palmira,1,Alto,4874293,2.25
EMP-0013,Producción,2472568,2023-10-15,2.9,Indefinido,Planta Palmira,6,Medio,3758303,1.74
EMP-0014,Producción,1532160,2017-11-04,8.8,Indefinido,Tiendas,4,Bajo,2328883,1.08
EMP-0015,Producción,1585792,2015-05-18,11.3,Indefinido,CD Yumbo,2,Alto,2410403,1.11
EMP-0016,Producción,2369072,2024-12-01,1.7,Indefinido,Oficina Cali,1,Medio,3600989,1.66
EMP-0017,Producción,2997672,2016-04-03,10.4,Fijo,Planta Palmira,0,Bajo,4556461,2.11
EMP-0018,Producción,2543202,2015-04-02,11.4,Indefinido,Tiendas,5,Bajo,3865667,1.79
EMP-0019,Producción,3097192,2023-12-20,2.7,Indefinido,CD Yumbo,0,Bajo,4707731,2.18
EMP-0020,Producción,2613903,2024-01-08,2.6,Indefinido,Oficina Cali,0,Medio,3973132,1.84
EMP-0021,Producción,3337536,2024-12-02,1.7,Indefinido,CD Yumbo,1,Bajo,5073054,2.34
EMP-0022,Producción,1662225,2015-03-14,11.5,Fijo,Planta Palmira,9,Bajo,2526582,1.17
EMP-0023,Producción,2213225,2023-02-01,3.6,Indefinido,Planta Palmira,0,Bajo,3364102,1.55
EMP-0024,Producción,2578882,2024-06-11,2.2,Indefinido,Planta Palmira,0,Alto,3919900,1.81
EMP-0025,Producción,2356995,2022-07-05,4.2,Fijo,CD Yumbo,4,Alto,3582632,1.66
EMP-0026,Producción,2704407,2021-05-05,5.3,Indefinido,CD Yumbo,3,Bajo,4110698,1.9
EMP-0027,Producción,2909130,2022-09-18,4.0,Fijo,Tiendas,6,Bajo,4421877,2.04
EMP-0028,Producción,1509811,2017-10-25,8.8,Fijo,Planta Palmira,2,Bajo,2294912,1.06
EMP-0029,Producción,1507090,2015-05-20,11.3,Indefinido,Planta Palmira,1,Bajo,2290776,1.06
EMP-0030,Producción,2852675,2018-11-29,7.8,Fijo,Tiendas,1,Medio,4336066,2.0
EMP-0031,Producción,3063844,2021-02-01,5.6,Indefinido,Planta Palmira,5,Bajo,4657042,2.15
EMP-0032,Producción,3138104,2023-03-16,3.5,Indefinido,Tiendas,2,Bajo,4769918,2.2
EMP-0033,Producción,2995485,2015-11-16,10.8,Fijo,Planta Palmira,1,Bajo,4553137,2.1
EMP-0034,Producción,2672305,2017-09-21,8.9,Indefinido,Planta Palmira,0,Medio,4061903,1.88
EMP-0035,Producción,2846111,2018-05-06,8.3,Indefinido,Planta Palmira,0,Bajo,4326088,2.0
EMP-0036,Producción,3118116,2024-12-17,1.7,Indefinido,Planta Palmira,12,Medio,4739536,2.19
EMP-0037,Producción,3223524,2024-10-21,1.9,Fijo,Planta Palmira,9,Bajo,4899756,2.26
EMP-0038,Producción,2176400,2019-09-14,7.0,Indefinido,Oficina Cali,2,Medio,3308128,1.53
EMP-0039,Producción,3312986,2016-05-16,10.3,Indefinido,Planta Palmira,0,Medio,5035738,2.33
EMP-0040,Producción,2462033,2022-11-02,3.8,Indefinido,Oficina Cali,1,Bajo,3742290,1.73
EMP-0041,Producción,3299667,2019-10-13,6.9,Indefinido,Planta Palmira,6,Bajo,5015493,2.32
EMP-0042,Producción,2496992,2022-03-02,4.5,Indefinido,Planta Palmira,0,Medio,3795427,1.75
EMP-0043,Producción,2744755,2018-05-10,8.3,Indefinido,Planta Palmira,0,Medio,4172027,1.93
EMP-0044,Producción,1949819,2017-08-24,9.0,Indefinido,Tiendas,6,Bajo,2963724,1.37
EMP-0045,Producción,2459820,2024-04-15,2.4,Indefinido,Planta Palmira,0,Medio,3738926,1.73
EMP-0046,Producción,3344772,2020-05-25,6.3,Obra o labor,Oficina Cali,6,Bajo,5084053,2.35
EMP-0047,Producción,2363569,2018-08-31,8.0,Indefinido,Planta Palmira,0,Bajo,3592624,1.66
EMP-0048,Producción,2154363,2021-07-06,5.2,Fijo,Oficina Cali,4,Bajo,3274631,1.51
EMP-0049,Producción,2520757,2019-05-11,7.3,Indefinido,CD Yumbo,3,Medio,3831550,1.77
EMP-0050,Producción,2138603,2017-08-06,9.1,Fijo,Planta Palmira,10,Bajo,3250676,1.5
EMP-0051,Producción,3291641,2015-06-12,11.2,Obra o labor,CD Yumbo,12,Bajo,5003294,2.31
EMP-0052,Producción,1727422,2018-08-04,8.1,Fijo,Planta Palmira,2,Bajo,2625681,1.21
EMP-0053,Producción,2994025,2025-02-24,1.5,Obra o labor,Oficina Cali,11,Bajo,4550918,2.1
EMP-0054,Producción,2299347,2019-12-02,6.7,Indefinido,Oficina Cali,2,Bajo,3495007,1.62
EMP-0055,Producción,1852127,2016-06-07,10.2,Indefinido,Planta Palmira,2,Bajo,2815233,1.3
EMP-0056,Producción,2717924,2015-04-03,11.4,Indefinido,Planta Palmira,6,Alto,4131244,1.91
EMP-0057,Producción,1940224,2020-05-17,6.3,Indefinido,CD Yumbo,1,Medio,2949140,1.36
EMP-0058,Producción,1546134,2022-09-22,3.9,Indefinido,Planta Palmira,7,Medio,2350123,1.09
EMP-0059,Producción,1535423,2022-02-06,4.6,Fijo,Planta Palmira,2,Bajo,2333842,1.08
EMP-0060,Producción,2652181,2023-10-11,2.9,Obra o labor,CD Yumbo,2,Medio,4031315,1.86
EMP-0061,Producción,3101492,2024-06-28,2.2,Fijo,Oficina Cali,3,Bajo,4714267,2.18
EMP-0062,Producción,2886236,2025-01-23,1.6,Indefinido,Planta Palmira,7,Alto,4387078,2.03
EMP-0063,Producción,3233220,2021-09-14,5.0,Indefinido,Oficina Cali,4,Bajo,4914494,2.27
EMP-0064,Producción,2780490,2020-09-08,6.0,Indefinido,Tiendas,2,Bajo,4226344,1.95
EMP-0065,Producción,1688925,2015-11-17,10.8,Indefinido,Planta Palmira,4,Bajo,2567166,1.19
EMP-0066,Producción,3146206,2017-01-13,9.6,Indefinido,Planta Palmira,6,Bajo,4782233,2.21
EMP-0067,Producción,3255148,2018-08-14,8.0,Indefinido,Oficina Cali,1,Bajo,4947824,2.29
EMP-0068,Producción,2857464,2016-02-24,10.5,Indefinido,Planta Palmira,2,Bajo,4343345,2.01
EMP-0069,Producción,2625863,2017-02-06,9.6,Fijo,Oficina Cali,8,Alto,3991311,1.84
EMP-0070,Producción,1493067,2017-03-22,9.4,Indefinido,CD Yumbo,2,Alto,2269461,1.05
EMP-0071,Producción,2869703,2026-01-27,0.6,Fijo,Oficina Cali,10,Medio,4361948,2.02
EMP-0072,Producción,3066682,2020-10-10,5.9,Fijo,Planta Palmira,7,Bajo,4661356,2.15
EMP-0073,Producción,3020200,2016-01-30,10.6,Indefinido,Planta Palmira,2,Bajo,4590704,2.12
EMP-0074,Producción,2778145,2018-04-16,8.4,Fijo,Tiendas,0,Bajo,4222780,1.95
EMP-0075,Producción,2430042,2018-07-20,8.1,Indefinido,Tiendas,0,Bajo,3693663,1.71
EMP-0076,Producción,2610181,2023-07-01,3.2,Indefinido,Tiendas,0,Alto,3967475,1.83
EMP-0077,Producción,1774580,2016-12-02,9.7,Indefinido,Tiendas,22,Medio,2697361,1.25
EMP-0078,Producción,1816814,2020-06-23,6.2,Indefinido,CD Yumbo,1,Bajo,2761557,1.28
EMP-0079,Producción,2601052,2020-02-08,6.6,Indefinido,Planta Palmira,5,Medio,3953599,1.83
EMP-0080,Producción,1620625,2024-04-18,2.4,Indefinido,Tiendas,3,Bajo,2463350,1.14
EMP-0081,Producción,1716855,2022-08-20,4.0,Indefinido,Tiendas,2,Bajo,2609619,1.21
EMP-0082,Producción,1930557,2017-11-27,8.8,Fijo,Tiendas,3,Bajo,2934446,1.36
EMP-0083,Producción,1682863,2022-07-27,4.1,Indefinido,Planta Palmira,3,Bajo,2557951,1.18
EMP-0084,Producción,1965272,2017-02-07,9.6,Indefinido,CD Yumbo,0,Bajo,2987213,1.38
EMP-0085,Producción,2419523,2023-03-31,3.4,Indefinido,Planta Palmira,1,Bajo,3677674,1.7
EMP-0086,Producción,1773129,2015-12-10,10.7,Indefinido,Tiendas,0,Bajo,2695156,1.25
EMP-0087,Calidad & Laboratorio,4701864,2022-12-09,3.7,Indefinido,Oficina Cali,12,Bajo,7146833,3.3
EMP-0088,Calidad & Laboratorio,4146264,2020-08-18,6.0,Obra o labor,Tiendas,1,Bajo,6302321,2.91
EMP-0089,Calidad & Laboratorio,4544754,2018-02-15,8.5,Obra o labor,Planta Palmira,11,Medio,6908026,3.19
EMP-0090,Calidad & Laboratorio,5750733,2017-10-07,8.9,Fijo,CD Yumbo,4,Medio,8741114,4.04
EMP-0091,Calidad & Laboratorio,5976954,2024-02-27,2.5,Indefinido,CD Yumbo,4,Medio,9084970,4.2
EMP-0092,Calidad & Laboratorio,6671956,2024-06-13,2.2,Indefinido,Planta Palmira,2,Bajo,10141373,4.69
EMP-0093,Calidad & Laboratorio,4602129,2015-11-21,10.8,Obra o labor,Tiendas,10,Bajo,6995236,3.23
EMP-0094,Calidad & Laboratorio,3328912,2018-01-14,8.6,Fijo,Oficina Cali,0,Bajo,5059946,2.34
EMP-0095,Calidad & Laboratorio,4821225,2024-07-31,2.1,Indefinido,Tiendas,5,Bajo,7328262,3.39
EMP-0096,Calidad & Laboratorio,6685739,2021-10-01,4.9,Indefinido,Planta Palmira,1,Bajo,10162323,4.7
EMP-0097,Calidad & Laboratorio,5786838,2019-08-15,7.0,Indefinido,Planta Palmira,0,Bajo,8795993,4.07
EMP-0098,Calidad & Laboratorio,3888145,2023-12-25,2.7,Indefinido,Planta Palmira,2,Bajo,5909980,2.73
EMP-0099,Calidad & Laboratorio,5265787,2020-08-06,6.1,Fijo,Planta Palmira,13,Medio,8003996,3.7
EMP-0100,Calidad & Laboratorio,4658467,2016-09-04,10.0,Indefinido,Planta Palmira,0,Bajo,7080869,3.27
EMP-0101,Calidad & Laboratorio,5198894,2023-01-09,3.6,Obra o labor,Tiendas,1,Bajo,7902318,3.65
EMP-0102,Calidad & Laboratorio,2376916,2020-12-23,5.7,Fijo,Planta Palmira,4,Bajo,3612912,1.67
EMP-0103,Calidad & Laboratorio,4658342,2019-01-28,7.6,Fijo,CD Yumbo,1,Bajo,7080679,3.27
EMP-0104,Logística & Almacén,1842944,2018-02-19,8.5,Indefinido,Tiendas,9,Bajo,2801274,1.29
EMP-0105,Logística & Almacén,2211107,2026-02-16,0.5,Indefinido,Planta Palmira,4,Bajo,3360882,1.55
EMP-0106,Logística & Almacén,2905476,2025-02-07,1.6,Indefinido,Planta Palmira,9,Bajo,4416323,2.04
EMP-0107,Logística & Almacén,2396873,2025-02-10,1.6,Indefinido,Planta Palmira,4,Bajo,3643246,1.68
EMP-0108,Logística & Almacén,3810697,2016-09-23,9.9,Fijo,Oficina Cali,0,Medio,5792259,2.68
EMP-0109,Logística & Almacén,1441036,2018-03-20,8.4,Indefinido,Planta Palmira,2,Bajo,2190374,1.01
EMP-0110,Logística & Almacén,3428464,2015-03-08,11.5,Fijo,Planta Palmira,6,Bajo,5211265,2.41
EMP-0111,Logística & Almacén,3734956,2017-09-09,9.0,Indefinido,Tiendas,0,Bajo,5677133,2.62
EMP-0112,Logística & Almacén,3666590,2016-06-25,10.2,Fijo,Planta Palmira,1,Alto,5573216,2.58
EMP-0113,Logística & Almacén,1710954,2022-08-31,4.0,Indefinido,Oficina Cali,2,Bajo,2600650,1.2
EMP-0114,Logística & Almacén,3758451,2020-08-27,6.0,Fijo,Oficina Cali,2,Alto,5712845,2.64
EMP-0115,Logística & Almacén,1487255,2018-01-07,8.6,Indefinido,Oficina Cali,0,Bajo,2260627,1.04
EMP-0116,Logística & Almacén,3572350,2015-10-14,10.9,Indefinido,Oficina Cali,1,Bajo,5429972,2.51
EMP-0117,Logística & Almacén,2373010,2025-09-04,1.0,Indefinido,Tiendas,0,Medio,3606975,1.67
EMP-0118,Logística & Almacén,3772791,2019-10-27,6.8,Fijo,Oficina Cali,2,Bajo,5734642,2.65
EMP-0119,Logística & Almacén,1506410,2017-10-03,8.9,Indefinido,Planta Palmira,1,Bajo,2289743,1.06
EMP-0120,Logística & Almacén,3226543,2019-10-19,6.9,Obra o labor,Planta Palmira,1,Bajo,4904345,2.27
EMP-0121,Logística & Almacén,2203444,2026-02-05,0.6,Indefinido,Oficina Cali,21,Medio,3349234,1.55
EMP-0122,Logística & Almacén,2730675,2017-04-29,9.3,Indefinido,Planta Palmira,2,Medio,4150626,1.92
