sku,producto,marca,categoria,registro_invima,tipo,fecha_expedicion,fecha_vencimiento,dias_para_vencer,estado,fuente
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,RSA-0072443-2017,Registro sanitario,2017-05-15,2027-02-11,164,Por vencer,Simulado
RAD-PWD,Radical Power Drink polvo,Radical,Energía y recuperación,RSA-0024245-2017,Registro sanitario,2017-07-15,2027-11-27,453,Vigente,Simulado
STK-COMBO,Combo BiPro Lite + Burner Stack,Stacks,Control de peso,RSA-0053664-2018,Registro sanitario,2018-12-15,2028-04-07,585,Vigente,Simulado
STK-GLU,Gluta Stack,Stacks,Energía y recuperación,RSA-0090609-2018,Registro sanitario,2018-11-15,2028-06-25,664,Vigente,Simulado
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,RSA-0095580-2018,Registro sanitario,2018-12-15,2028-07-07,676,Vigente,Simulado
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,RSA-0049199-2018,Registro sanitario,2018-10-15,2028-12-01,823,Vigente,Simulado
BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,BiPro,Módulos proteicos,RSA-0007428-2019,Registro sanitario,2019-07-15,2029-01-01,854,Vigente,Publicado por la compañía
NUT-POP-CAJ,Nutra Pops caja,Nutra,Snacks proteicos,RSA-0034625-2019,Registro sanitario,2019-03-15,2029-01-17,870,Vigente,Simulado
NUT-C,Nutra-C Ácido Ascórbico 200 g,Nutra,Nutrición general,RSA-0067077-2019,Registro sanitario,2019-01-15,2029-03-12,924,Vigente,Simulado
NUT-SB,Nutra Smart Baby,Nutra,Nutrición general,RSA-0088537-2019,Registro sanitario,2019-05-15,2029-05-24,997,Vigente,Simulado
BIP-CLA-2C,BiPro Classic Chocolate 2 lb,BiPro,Módulos proteicos,RSA-0007428-2019,Registro sanitario,2019-01-15,2029-07-02,1036,Vigente,Publicado por la compañía
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,RSA-0050165-2019,Registro sanitario,2019-12-15,2029-07-19,1053,Vigente,Simulado
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,RSA-0005780-2019,Registro sanitario,2019-03-15,2029-08-14,1079,Vigente,Simulado
ALI-FIT-COC,Fitbar Coco,Nutramerican,Snacks proteicos,RSA-0053247-2019,Registro sanitario,2019-04-15,2029-09-02,1098,Vigente,Simulado
RAD-RES-4,Rescue · paca x4,Radical,Energía y recuperación,RSA-0044771-2019,Registro sanitario,2019-08-15,2029-09-11,1107,Vigente,Simulado
RAD-RES-24,Rescue · paca x24,Radical,Energía y recuperación,RSA-0054569-2019,Registro sanitario,2019-10-15,2029-10-10,1136,Vigente,Simulado
