proveedor_id,insumo,origen,moneda,lead_time_dias,critico,score_calidad,score_puntualidad,score_precio
MP-001,Proteína de suero WPC 80,Estados Unidos,USD,62,1,9.4,8.5,7.2
MP-002,Proteína de suero aislada WPI,Irlanda,USD,74,1,9.6,8.2,6.8
MP-003,Caseinato de calcio,Nueva Zelanda,USD,68,1,9.2,8.6,7.4
MP-004,Creatina monohidrato,Alemania,USD,55,1,9.5,8.9,7.6
MP-005,Colágeno hidrolizado bovino,Brasil,USD,38,0,9.0,8.8,8.1
MP-006,Proteína vegetal de arveja,Canadá,USD,58,0,8.7,8.4,7.9
MP-007,Cafeína anhidra y taurina,China,USD,82,0,8.5,7.6,8.8
MP-008,Vitaminas y minerales premix,Suiza,EUR,65,1,9.7,9.0,6.5
MP-009,Maltodextrina y carbohidratos,Colombia,COP,12,0,8.6,9.2,8.9
MP-010,"Endulzantes (sucralosa, stevia)",Colombia,COP,15,0,8.4,9.0,8.7
MP-011,Cacao y saborizantes,Colombia,COP,18,0,8.8,8.9,8.5
MP-012,"Envases, tarros y tapas",Colombia,COP,22,1,8.9,8.3,8.4
MP-013,Latas y tapas para RTD,Colombia,COP,34,1,8.7,7.9,8.0
MP-014,Empaque flexible y sachets,Colombia,COP,20,0,8.5,8.7,8.6
